Timestamp,Name or tag,"✅ Reading Status
Have you finished reading this month’s book?","⏱️ Time to Read
How many days did it take you to finish (or how many days have you been reading so far)","📖 Format
What format did you read it in?","⭐ Rating
How would you rate the book?","💬 Favourite Quotes
Share any favorite quotes or lines from the book. ",🙋‍♀️ Suggestions or feedback?,🗳️ Vote on Next Month's Book!
15/11/2025 07:57:49,lightspeed,Yes,8,Kindle/eBook,5,"""Besides, if I had a nickel for every time I wanted to smack a kid's parents for not teaching them even the most basic things... well.. I'd have enough nickels to put in a sock and smack those parents with it."" - Chapter 4

""So, 'yes'?"" ""No, yes."" ""Yes?"" “No. No."" ""Yes, yes?"" - Chapter 12

""Be careful,"" says Rocky. ""You are friend now."" - Chapter 19

""Usually you not stupid. Why stupid, question?"" - Rocky to Grace (Chapter 21)

""You sleep. I watch."" - Chapter 24",,Rosemary's Baby - Ira Levin
15/11/2025 12:32:36,Viswa,Yes,5,Kindle/eBook,4,"I burst out laughing when I read this line in the book. ““Maybe that ship is the Praise Allah or the Blessings of Vishnu” 😂😂😂

I love that the author also thought deeply about why it’s called “Hail Mary” only. Very meta",So many more avenues to explore about new planet interaction,Everything is Tuberculosis - John Green
15/11/2025 13:12:18,Pranjal,Yes,6,Kindle/eBook,4,,,Everything is Tuberculosis - John Green
15/11/2025 13:14:41,Smrithi,Yes,7,Audiobook,4,"""Human beings have a remarkable ability to accept the abnormal and make it normal""",Love it!! Thank you fir inviting me,Everything is Tuberculosis - John Green
15/11/2025 14:39:28,KD,Still reading,7,Hardcopy,5,,,Everything is Tuberculosis - John Green
15/11/2025 19:52:26,Nitarek,Still reading,3,Audiobook,4,Amaze. Bad bad bad. Everyone building their own castles. ,,Everything is Tuberculosis - John Green
16/11/2025 08:30:21,Ani,Yes,2,Kindle/eBook,4,I like the fist bumps! ,,Rosemary's Baby - Ira Levin
29/11/2025 23:42:57,TBR Mountaineer ,Yes,4,Kindle/eBook,5,,,Rosemary's Baby - Ira Levin
03/12/2025 21:28:47,sinvovercosv,DNF,2,Kindle/eBook,4,,,Rosemary's Baby - Ira Levin
03/12/2025 21:28:47,satabdiya,Yes,10,Kindle/eBook,5,,,Rosemary's Baby - Ira Levin
